Date,Terrorist_Events
26/05/2014,3
27/05/2014,3
28/05/2014,3
29/05/2014,4
30/05/2014,1
31/05/2014,1
1/6/2014,2
2/6/2014,1
3/6/2014,3
4/6/2014,4
5/6/2014,2
6/6/2014,4
7/6/2014,6
8/6/2014,1
10/6/2014,2
11/6/2014,3
12/6/2014,5
14/06/2014,3
15/06/2014,2
16/06/2014,3
17/06/2014,3
18/06/2014,2
19/06/2014,1
20/06/2014,1
22/06/2014,1
24/06/2014,2
25/06/2014,7
26/06/2014,1
28/06/2014,1
29/06/2014,2
30/06/2014,2
1/7/2014,1
2/7/2014,2
3/7/2014,2
4/7/2014,1
5/7/2014,1
6/7/2014,4
7/7/2014,2
8/7/2014,5
9/7/2014,2
10/7/2014,1
11/7/2014,1
12/7/2014,2
13/07/2014,1
15/07/2014,1
16/07/2014,3
17/07/2014,1
18/07/2014,2
20/07/2014,1
22/07/2014,3
23/07/2014,1
24/07/2014,1
25/07/2014,7
26/07/2014,6
27/07/2014,4
28/07/2014,2
29/07/2014,4
30/07/2014,2
31/07/2014,3
1/8/2014,2
2/8/2014,3
3/8/2014,3
4/8/2014,1
5/8/2014,3
6/8/2014,2
7/8/2014,2
9/8/2014,1
10/8/2014,4
11/8/2014,2
12/8/2014,9
13/08/2014,4
14/08/2014,2
15/08/2014,1
16/08/2014,6
17/08/2014,3
18/08/2014,1
19/08/2014,4
20/08/2014,2
21/08/2014,1
22/08/2014,4
23/08/2014,2
24/08/2014,1
25/08/2014,1
27/08/2014,4
28/08/2014,3
29/08/2014,4
30/08/2014,2
31/08/2014,2
2/9/2014,2
3/9/2014,2
4/9/2014,3
6/9/2014,1
7/9/2014,1
8/9/2014,1
9/9/2014,2
11/9/2014,1
12/9/2014,3
13/09/2014,3
14/09/2014,1
15/09/2014,3
16/09/2014,1
17/09/2014,3
18/09/2014,1
19/09/2014,5
21/09/2014,1
22/09/2014,1
23/09/2014,2
25/09/2014,1
26/09/2014,3
27/09/2014,4
29/09/2014,1
1/10/2014,1
2/10/2014,1
4/10/2014,2
5/10/2014,2
6/10/2014,1
8/10/2014,1
9/10/2014,3
10/10/2014,2
11/10/2014,1
12/10/2014,1
15/10/2014,2
16/10/2014,1
18/10/2014,2
19/10/2014,1
21/10/2014,3
22/10/2014,3
23/10/2014,3
24/10/2014,1
25/10/2014,2
27/10/2014,2
28/10/2014,1
29/10/2014,1
30/10/2014,1
31/10/2014,1
2/11/2014,1
3/11/2014,2
4/11/2014,4
5/11/2014,3
6/11/2014,1
8/11/2014,2
10/11/2014,2
11/11/2014,2
12/11/2014,1
13/11/2014,3
14/11/2014,2
15/11/2014,1
16/11/2014,3
17/11/2014,2
18/11/2014,4
19/11/2014,4
20/11/2014,7
21/11/2014,6
22/11/2014,2
23/11/2014,2
24/11/2014,3
25/11/2014,3
26/11/2014,2
27/11/2014,6
29/11/2014,5
30/11/2014,3
1/12/2014,4
2/12/2014,4
3/12/2014,1
4/12/2014,3
5/12/2014,7
6/12/2014,3
7/12/2014,2
8/12/2014,3
9/12/2014,2
10/12/2014,1
11/12/2014,4
12/12/2014,3
13/12/2014,1
14/12/2014,2
15/12/2014,1
16/12/2014,1
17/12/2014,1
18/12/2014,1
20/12/2014,2
21/12/2014,4
22/12/2014,8
23/12/2014,6
24/12/2014,4
26/12/2014,2
28/12/2014,2
29/12/2014,2
30/12/2014,1
31/12/2014,1
1/1/2015,3
2/1/2015,1
3/1/2015,1
4/1/2015,1
6/1/2015,2
9/1/2015,2
10/1/2015,3
11/1/2015,3
12/1/2015,3
13/01/2015,1
14/01/2015,3
15/01/2015,3
17/01/2015,1
18/01/2015,3
19/01/2015,2
20/01/2015,5
21/01/2015,4
22/01/2015,6
23/01/2015,7
24/01/2015,4
25/01/2015,6
26/01/2015,13
28/01/2015,1
29/01/2015,2
30/01/2015,3
31/01/2015,2
1/2/2015,7
2/2/2015,3
3/2/2015,5
5/2/2015,5
6/2/2015,3
7/2/2015,1
8/2/2015,4
9/2/2015,1
12/2/2015,7
13/02/2015,2
14/02/2015,3
16/02/2015,3
17/02/2015,1
18/02/2015,3
19/02/2015,2
20/02/2015,2
21/02/2015,2
23/02/2015,1
24/02/2015,3
25/02/2015,2
26/02/2015,1
27/02/2015,1
28/02/2015,1
1/3/2015,1
2/3/2015,1
5/3/2015,2
7/3/2015,3
8/3/2015,3
9/3/2015,1
10/3/2015,2
11/3/2015,1
12/3/2015,3
13/03/2015,3
14/03/2015,1
15/03/2015,1
17/03/2015,1
19/03/2015,1
20/03/2015,2
21/03/2015,3
22/03/2015,4
24/03/2015,3
25/03/2015,4
26/03/2015,3
27/03/2015,4
28/03/2015,1
29/03/2015,1
31/03/2015,4
1/4/2015,3
2/4/2015,5
3/4/2015,2
4/4/2015,3
6/4/2015,4
7/4/2015,1
8/4/2015,1
9/4/2015,1
10/4/2015,2
11/4/2015,2
12/4/2015,3
13/04/2015,6
14/04/2015,2
15/04/2015,4
16/04/2015,1
17/04/2015,1
18/04/2015,1
20/04/2015,3
21/04/2015,3
22/04/2015,2
23/04/2015,1
25/04/2015,4
26/04/2015,1
27/04/2015,1
28/04/2015,1
29/04/2015,2
1/5/2015,5
2/5/2015,1
3/5/2015,7
4/5/2015,3
5/5/2015,1
6/5/2015,2
8/5/2015,6
9/5/2015,5
10/5/2015,3
11/5/2015,1
12/5/2015,1
13/05/2015,3
16/05/2015,1
17/05/2015,2
18/05/2015,1
19/05/2015,1
20/05/2015,3
21/05/2015,4
22/05/2015,1
23/05/2015,1
24/05/2015,2
25/05/2015,12
26/05/2015,4
27/05/2015,5
28/05/2015,1
29/05/2015,7
30/05/2015,9
31/05/2015,3
1/6/2015,4
2/6/2015,2
4/6/2015,4
6/6/2015,1
7/6/2015,2
9/6/2015,4
10/6/2015,5
11/6/2015,2
12/6/2015,8
13/06/2015,1
14/06/2015,1
15/06/2015,3
16/06/2015,4
17/06/2015,2
18/06/2015,3
20/06/2015,4
22/06/2015,3
23/06/2015,2
26/06/2015,4
27/06/2015,1
28/06/2015,1
29/06/2015,1
30/06/2015,3
1/7/2015,2
2/7/2015,1
3/7/2015,3
4/7/2015,1
7/7/2015,1
9/7/2015,3
10/7/2015,4
11/7/2015,1
13/07/2015,3
14/07/2015,5
15/07/2015,2
16/07/2015,4
17/07/2015,2
19/07/2015,1
20/07/2015,1
21/07/2015,4
22/07/2015,1
23/07/2015,2
24/07/2015,9
25/07/2015,6
26/07/2015,1
27/07/2015,8
28/07/2015,1
29/07/2015,3
30/07/2015,2
31/07/2015,3
1/8/2015,3
2/8/2015,3
3/8/2015,1
4/8/2015,6
5/8/2015,7
6/8/2015,3
7/8/2015,3
8/8/2015,4
9/8/2015,2
10/8/2015,1
11/8/2015,4
12/8/2015,4
13/08/2015,10
14/08/2015,1
15/08/2015,4
16/08/2015,1
17/08/2015,3
18/08/2015,3
20/08/2015,1
21/08/2015,2
22/08/2015,6
24/08/2015,1
25/08/2015,1
26/08/2015,3
29/08/2015,1
30/08/2015,2
31/08/2015,12
2/9/2015,4
3/9/2015,3
4/9/2015,2
5/9/2015,2
7/9/2015,3
8/9/2015,2
9/9/2015,4
10/9/2015,3
11/9/2015,1
12/9/2015,1
14/09/2015,1
15/09/2015,2
16/09/2015,2
17/09/2015,1
18/09/2015,3
19/09/2015,3
20/09/2015,2
21/09/2015,3
22/09/2015,1
23/09/2015,3
24/09/2015,2
25/09/2015,2
26/09/2015,3
28/09/2015,4
29/09/2015,2
30/09/2015,4
1/10/2015,2
