latitude,longitude,Events,Type
23.701401,86.586665,1,Left Wing Extremism
22.569164,86.973671,1,Left Wing Extremism
23.041512,84.544486,1,Left Wing Extremism
23.041512,84.544486,1,Left Wing Extremism
24.781467,84.986412,1,Left Wing Extremism
24.781467,84.986412,1,Left Wing Extremism
25.296631,85.017377,1,Left Wing Extremism
30.373674,76.14519,1,Religious Inspired: Sikh
22.486676,86.499655,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
24.728425,93.896718,1,Nationalist/Sub-nationalist Movement
24.128611,84.185712,1,Left Wing Extremism
24.798346,93.94043,1,Nationalist/Sub-nationalist Movement
18.815236,82.712102,1,Left Wing Extremism
22.124002,84.043175,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
23.695633,91.912813,1,Nationalist/Sub-nationalist Movement
27.637545,94.884828,1,Nationalist/Sub-nationalist Movement
18.815236,82.712102,1,Left Wing Extremism
23.232415,87.078604,1,Left Wing Extremism
23.232415,87.078604,1,Left Wing Extremism
21.63869,85.606944,1,Left Wing Extremism
24.94242,93.841357,1,Nationalist/Sub-nationalist Movement
22.562035,87.154756,1,Left Wing Extremism
24.798346,93.94043,1,Nationalist/Sub-nationalist Movement
26.519877,93.970038,1,Nationalist/Sub-nationalist Movement
30.748611,75.629722,1,Religious Inspired: Sikh
22.404193,87.379866,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
23.232415,87.078604,1,Left Wing Extremism
24.877812,86.921828,1,Nationalist/Sub-nationalist Movement
21.63869,85.606944,1,Left Wing Extremism
22.906096,86.386833,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
22.615479,87.08591,1,Left Wing Extremism
16.690933,79.567945,1,Left Wing Extremism
22.124002,84.043175,1,Left Wing Extremism
23.232415,87.078604,1,Left Wing Extremism
23.332078,86.365208,1,Left Wing Extremism
26.821592,92.681002,1,Nationalist/Sub-nationalist Movement
22.451393,86.992203,1,Left Wing Extremism
22.959166,85.965274,1,Left Wing Extremism
24.798346,93.94043,1,Religious Inspired: Islamic
22.450177,86.899792,1,Left Wing Extremism
22.124002,84.043175,1,Left Wing Extremism
17.666359,82.22292,1,Left Wing Extremism
26.553814,90.342925,1,Nationalist/Sub-nationalist Movement
24.755824,86.422732,1,Left Wing Extremism
22.260423,84.853584,1,Left Wing Extremism
18.895394,81.351442,1,Left Wing Extremism
23.9625,86.132778,1,Left Wing Extremism
22.124002,84.043175,1,Left Wing Extremism
22.585272,87.049698,1,Left Wing Extremism
26.484099,85.313322,1,Left Wing Extremism
23.288625,85.40918,1,Left Wing Extremism
22.632073,86.764262,1,Left Wing Extremism
24.585433,92.589132,1,Nationalist/Sub-nationalist Movement
18.52043,73.856744,1,Religious Inspired: Islamic
22.55482,87.043064,1,Left Wing Extremism
22.507239,86.556476,1,Left Wing Extremism
26.583446,84.279156,1,Left Wing Extremism
18.751105,82.433295,1,Left Wing Extremism
22.616778,86.818268,1,Left Wing Extremism
24.925432,86.220954,1,Left Wing Extremism
26.583446,84.279156,1,Left Wing Extremism
22.70998,86.865945,1,Left Wing Extremism
24.687972,86.253636,1,Left Wing Extremism
23.332078,86.365208,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
18.286666,82.586806,1,Left Wing Extremism
26.077465,84.355374,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
23.041512,84.544486,1,Left Wing Extremism
23.403088,86.069527,1,Left Wing Extremism
24.877812,86.921828,1,Left Wing Extremism
24.644924,93.99929,1,Nationalist/Sub-nationalist Movement
23.332078,86.365208,1,Left Wing Extremism
25.195693,86.541023,1,Left Wing Extremism
22.786479,87.054932,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
18.895394,81.351442,1,Left Wing Extremism
22.333044,87.086149,1,Left Wing Extremism
22.610968,84.502431,1,Left Wing Extremism
