Country,Terrorist_Events
Mexico,504
West Germany (FRG),541
Kenya,582
Burundi,587
Democratic Republic of the Congo,628
Iran,676
Germany,703
Indonesia,735
Argentina,806
Sudan,861
Nepal,967
Greece,1231
Italy,1556
Bangladesh,1605
Ukraine,1650
Syria,1949
Nicaragua,1970
South Africa,1987
Guatemala,2050
Libya,2053
Israel,2133
West Bank and Gaza Strip,2144
Russia,2158
Egypt,2165
Chile,2351
Lebanon,2454
France,2642
Algeria,2729
United States,2758
Sri Lanka,2981
Yemen,3109
Spain,3245
Nigeria,3418
Somalia,3482
Thailand,3668
Turkey,4106
United Kingdom,5098
El Salvador,5320
Peru,6088
Philippines,6212
Colombia,8163
India,10978
Afghanistan,11306
Pakistan,13634
Iraq,22130
